자치구,행정동,키값
강남구,논현2동,1
강북구,미아동,1
강서구,우장산동,1
강서구,화곡6동,1
관악구,대학동,1
광진구,광장동,1
광진구,군자동,1
광진구,화양동,1
구로구,개봉1동,1
구로구,고척1동,1
구로구,항동,1
노원구,공릉2동,4
노원구,상계6·7동,1
노원구,월계1동,1
노원구,월계2동,1
도봉구,쌍문1동,1
동대문구,이문1동,2
동대문구,전농2동,1
동대문구,회기동,1
동대문구,휘경2동,1
동작구,사당3동,1
동작구,상도1동,1
동작구,흑석동,1
마포구,대흥동,1
마포구,서강동,1
마포구,용강동,1
서대문구,남가좌2동,1
서대문구,신촌동,2
서대문구,천연동,1
서대문구,충현동,2
서대문구,홍은2동,1
서대문구,홍제1동,1
서대문구,홍제3동,1
서초구,방배3동,1
서초구,서초1동,1
서초구,혜화동,1
성동구,사근동,2
성북구,동선동,1
성북구,삼선동,1
성북구,석관동,1
성북구,안암동,1
성북구,월곡2동,1
성북구,정릉3동,1
성북구,정릉4동,1
송파구,오륜동,1
용산구,보광동,1
용산구,청파동,1
은평구,신사1동,1
종로구,교남동,1
종로구,부암동,1
종로구,사직동,1
종로구,성수1가2동,1
종로구,혜화동,2
중구,필동,2
중랑구,면목3·8동,1
